LIST_NO,LIST_DATE,LEVELS_MF,ADDRESS,NO_BEDROOMS,FURNISHED_RN,HIGH_SCHOOL,LIST_OR_SALE_PRICE,LIST_PRICE,ORIG_PRICE,SQUARE_FEET,NEIGHBORHOOD,OFF_MKT_DATE,OFFER_DATE,RENT_FEE_INCLUDES_RN
73280683,8/22/24,,120 Emerson St U:3,2,No,,4100,3800,3950,950,,9/24/24,9/24/24,"Water, Sewerage Disposal"
73280697,9/1/24,,691 Massachusetts Ave U:401,2,No,,3800,3900,4200,969,,11/1/24,11/1/24,"Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Laundry Facilities, Parking "
73280708,8/22/24,,250 Meridian U:508,1,,,2500,2550,2650,700,,10/15/24,10/15/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Grounds Maintenance"
73280713,8/22/24,,18 Appleton St U:2B,1,No,,2200,1900,1900,750,,8/28/24,8/28/24,"Water, Sewerage Disposal"
73280735,8/22/24,,15 Pine Rock Road,2,Yes,,2200,2200,2200,720,,9/9/24,9/9/24,Gas
73280745,8/22/24,,502 Somerville Ave U:1,1,,,2300,2300,2300,619,,9/13/24,9/13/24,"Water, Sewerage Disposal, Snow Removal, Grounds Maintenance"
73280770,8/22/24,,1 Franklin St U:4606,3,Yes,,22000,22000,22000,2663,,10/21/24,10/21/24,"Heat, Hot Water, Gas, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Swimming Pool, Air Conditioning, Clubroom, Laundry Facilities, Parking , Security"
73280772,8/22/24,,113 Highland Ave U:-,2,,,3000,3000,3000,800,,9/5/24,9/5/24,"Water, Sewerage Disposal, Parking "
73280776,8/22/24,,275 Main St U:803,1,No,,2700,2700,2700,786,,10/28/24,10/28/24,"Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Grounds Maintenance, Swimming Pool, Extra Storage"
73280785,8/22/24,,150 Dorchester Ave U:206,1,No,BPS,3200,3200,3300,1114,,9/17/24,9/17/24,"Hot Water, Gas"
73280791,8/22/24,,15 Brown St U:15,2,,,2700,2700,3200,1200,,11/8/24,11/1/24,"Heat, Water, Refuse Removal, Snow Removal, Grounds Maintenance"
73280801,8/22/24,,9 Tucker Street,2,Yes,,4000,4000,5000,1319,,1/2/25,1/2/25,"Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance, Furnishings (See Remarks)"
73280807,8/22/24,,105 Brookside U:3,2,,,2100,2100,2100,750,,9/10/24,9/10/24,"Water, Sewerage Disposal, Refuse Removal"
73280830,8/22/24,,50 Canal St,4,No,M H S,4500,4500,4950,1847,,9/24/24,9/24/24,"Water, Sewerage Disposal, Occupancy Only, Parking "
73280845,8/21/24,,1450 Beacon U:703,1,,,2650,2650,2750,722,,9/9/24,9/9/24,"Heat, Hot Water"
73280847,8/21/24,,201 Harrison St,4,No,,1950,1950,2100,1401,,11/13/24,11/13/24,"Laundry Facilities, Parking "
73280859,8/22/24,,12 Fisher Ter,3,,,3800,3800,3800,1192,,10/9/24,10/9/24,Occupancy Only
73280861,8/22/24,,1 Franklin St U:2412,2,,,8900,8900,8900,1308,,9/16/24,9/16/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Snow Removal, Recreational Facilities, Grounds Maintenance, Swimming Pool"
73280877,8/22/24,,74 Phillips St U:1,0,No,,2000,2000,2100,270,,9/5/24,9/5/24,"Heat, Hot Water, Water, Sewerage Disposal"
73280888,8/22/24,,299 Tappan Street U:2,2,No,Check w/city,2450,2450,2450,885,,9/2/24,9/2/24,"Heat, Hot Water, Water, Sewerage Disposal, Refuse Removal, Grounds Maintenance"
